productSellerID,productCategoryID,productID,productVendorID,productMerchantID,productPosition,productLocation,stars,numberReviews,productName,productPrice,productCondition
5,80164,16204094,216,2,13,Catalog,90,3,Крапельна кавоварка VITEK VT-1503 BK,25.01,new
5,80164,19833254,2103,2,14,Catalog,100,7,Крапельна кавоварка RUSSELL HOBBS RETRO CLASSIC NOIR (21701-56),77.76,new
5,80164,639880,150,2,15,Catalog,80,3,Кавоварка ELECTROLUX EEA 255,195.14,new
5,80164,1347607,23,2,16,Catalog,90,53,Кавоварка PHILIPS Daily Collection HD7459/20,53.09,new
5,80164,1896037,3142,2,17,Catalog,None,0,Крапельна кавоварка REDMOND RCM-1501,23.53,new
746,80164,14368358,195,17,18,Catalog,None,0,Капсульна кавоварка Krups Pixie Clips XN3020 Nespresso (1260 Вт/чорно-лимонна),0,new
5,80164,252234,2522,2,19,Catalog,None,0,Кавоварка NIVONA NICR 757,694.61,new
5,80164,300195,1149,2,20,Catalog,None,0,Кавоварка CLATRONIC KA 3450,23.64,new
5,80164,653404,266,2,21,Catalog,90,4,Кавоварка POLARIS PCM 1211,29.18,new
5,80164,2371777,206,2,22,Catalog,100,3,Кавоварка DELONGHI ECO 311 W,185.92,new
5,80164,3168702,2103,2,23,Catalog,90,3,Кавоварка RUSSELL HOBBS Legacy Red (20682-56),62.62,new
5,80164,7444083,23,2,24,Catalog,100,3,Кавомашина PHILIPS 2000 series HD8649/01,303.57,new
5,80164,9860400,291,2,25,Catalog,None,0,Кавоварка еспрессо ARIETE 1339,110.02,new
5,80164,12469200,2522,2,26,Catalog,100,1,Кавомашина NIVONA NICR 1030,2462.58,new
5,80164,12804535,266,2,27,Catalog,100,1,Кавоварка еспресо POLARIS PCM 1517AE,83.45,new
5,80164,13295354,139351,2,28,Catalog,None,0,Кавоварка CASO Coffee One 1850,104.4,new
5,80164,13295508,139351,2,29,Catalog,None,0,Кавоварка CASO NOVEA C4 1852,153.28,new
746,80164,14389436,1757,17,30,Catalog,None,0,Кавоварка крапельна Tristar CM-1234,0,new
5,80164,15203639,266,2,31,Catalog,None,0,Крапельна кавоварка POLARIS PCM 1215 A,29.6,new
5,80164,15211199,1757,2,0,Catalog,100,1,Крапельна кавоварка TRISTAR KZ-1224,53.24,new
